symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
PGSS,2022-01-01,11.84,,,10.81,1.03,,1.63,0.0,,0.0,0.6,1.03,,0.04,1.63,,,,,,,,
WWAC,2022-01-01,9.76,,,10.21,0.45,,0.0,0.0,,0.01,0.46,0.45,,0.02,0.0,0.01,,,,,,,
HWKZ,2022-01-01,1.11,,,2.25,1.14,,1.28,0.0,,0.0,0.14,1.14,,0.04,1.28,,,,,,,,
IVCP,2022-01-01,1.06,,,1.47,0.41,,25.25,24.5,0.75,25.25,0.41,0.41,,0.01,25.25,,,,,,,,
JWSM,2022-01-01,46.7,,,47.71,1.01,,0.0,0.0,,0.0,1.01,1.01,,0.01,0.0,0.0,,,,,,,
EGGF,2022-01-01,3.67,,0.0,5.05,1.38,,0.0,0.0,,1.15,0.23,1.38,,0.05,0.0,1.15,,,,,,,
HAIA,2022-01-01,12.8,,,14.65,1.85,,0.0,0.0,,0.25,2.1,1.85,,0.07,0.0,0.25,,,,,,,
XPAX,2022-01-01,1.91,,,2.43,0.52,,0.0,0.0,,0.22,0.31,0.52,,0.02,0.0,0.22,,,,,,,
ROC,2022-01-01,1.02,,,2.68,1.67,,1.54,0.0,0.01,2.06,1.15,1.67,,0.06,1.54,2.07,,,,,,,
TGAA,2022-01-01,1.96,,,3.03,1.07,,0.0,0.0,,0.46,0.61,1.07,,0.04,0.0,0.46,,,,,,,
CREC,2022-01-01,15.51,,,15.84,0.33,,0.0,0.0,,0.01,0.34,0.33,,0.01,0.0,0.01,,,,,,,
BLUA,2022-01-01,8.49,,,9.05,0.57,,0.0,0.0,0.08,0.03,0.54,0.57,,0.01,0.0,0.1,,,,,,,
CONX,2022-01-01,24.19,,,24.74,0.55,,670.77,669.91,,669.58,0.65,0.55,,0.01,670.77,0.33,,,,,,,
CONX,2021-01-01,19.36,,,19.82,0.46,,0.0,0.0,,0.0,0.46,0.46,,0.01,0.0,0.0,,,,,,,
WAVC,2022-01-01,1.96,,,2.45,0.49,,0.0,0.0,,0.0,0.49,0.49,,0.02,0.0,0.0,,,,,,,
AVAC,2022-01-01,8.21,,,10.03,1.82,,1.1,0.0,,0.0,0.71,1.82,,0.07,1.1,,,,,,,,
CDAQ,2022-01-01,9.3,,,10.35,1.06,,0.0,0.0,,0.21,0.85,1.06,,0.04,0.0,0.21,,,,,,,
TWOA,2022-01-01,1.5,,,2.06,0.56,,0.0,0.0,0.09,0.09,0.65,0.56,,0.02,0.0,0.0,,,,,,,
PHYT,2022-01-01,10.64,,,11.57,0.93,,0.0,0.0,0.02,0.02,0.95,0.93,,0.04,0.0,0.0,,,,,,,
DALS,2022-01-01,0.6,,,1.69,1.1,,0.0,0.0,0.07,0.07,1.17,1.1,,0.04,0.0,,,,,,,,
ARTE,2022-01-01,3.48,,,4.38,0.9,,0.11,0.0,,0.0,0.79,0.9,,0.04,0.11,0.0,,,,,,,
PRLH,2022-01-01,2.04,,,0.14,1.9,,2.89,0.0,,0.03,0.96,1.9,,0.08,2.89,0.03,3252.87,,,,3252.87,,
VHNA,2022-01-01,0.98,,,2.17,1.19,,0.0,0.0,,0.3,0.88,1.19,,0.05,,0.3,,,,,,,
GTAC,2022-01-01,12.71,,,13.18,0.48,,0.0,0.0,0.11,0.11,0.58,0.48,,0.02,0.0,,,,,,,,
SEDA,2022-01-01,4.82,,2.63,8.21,0.76,,0.0,0.0,,0.0,0.76,0.76,,0.03,0.0,0.0,,,,,,,
FICV,2022-01-01,6.51,,,7.16,0.65,,0.0,0.0,,0.0,0.65,0.65,,0.03,0.0,,,,,,,,
ACAQ,2022-01-01,2.25,,,1.3,0.94,,216.11,216.0,,216.0,0.84,0.94,,0.03,216.11,,,,,,,,
SCAQ,2022-01-01,9.22,,,10.11,0.89,,0.34,0.0,,0.0,0.55,0.89,,0.03,0.34,0.0,,,,,,,
LOCC,2022-01-01,0.49,,,1.28,1.77,,0.4,0.0,,0.0,1.37,1.77,,0.07,0.4,,,,,,,,
BWC,2022-01-01,4.97,,,5.8,0.83,,0.0,0.0,,2.5,1.67,0.83,,0.03,0.0,2.5,,,,,,,
HMA,2022-01-01,10.68,,,12.65,1.98,,197.28,199.76,0.17,199.47,0.21,1.98,,0.09,197.28,0.13,,,,,,,
NVAC,2022-01-01,7.17,,,7.75,0.58,,0.03,0.0,,0.0,0.55,0.58,,0.11,0.01,0.0,,0.03,,,,,
BOCN,2022-01-01,12.66,,,13.07,0.41,,0.0,0.0,0.01,0.01,0.42,0.41,,0.02,0.0,,,,,,,,
IRRX,2022-01-01,9.58,,,10.83,1.24,,2.3,0.0,0.29,0.29,0.95,1.24,,0.04,2.3,,,,,,,,
